FIELD_Country,FIELD_field_latitude,FIELD_field_longitude,FIELD_name,FIELD_County,FIELD_plantingSeason,FIELD_pipeline,FIELD_year,commercialName,createdBrand,createdTechnology,OBS_observationRefCd,OBS_descriptorAbbreviation,OBS_numValue,REP_repetitionNumber,QC_Flag,OBS_growthStage,protocolTitle,SETS_setName
Argentina,-33.978761690924,-61.627261021992,EEBONA_VILLACANAS_FUMISEM_LATE_FFUNG22,General Lopez,2022,South,2022,DK7210PRO4,,,YLD,N/A,72.57,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMPL
Argentina,-36.869191030596,-59.913329500802,RLOPE1_AZUL_SCHANG_LATE_FFUNG22,Azul,2022,South,2022,NS7921VIP3CL,,,YLD,N/A,80.56,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMPL
Argentina,-26.2859435,-60.3823609,CSALO9_TRESISLETAS_MATESA_FFUNG22,Maipu,2022,North,2023,AX7452MQK1,,,YLD,N/A,62.624582,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNNORTE
Argentina,-26.539865,-60.650689,CSALO9_AVIATERAY_DONSANTIAGO_FFUNG22_FAMB22,Independencia,2022,North,2023,DK7612VT3P,DEKALB,VT3P,YLD,N/A,97.801183,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNNORTEA3
Argentina,-30.7798454,-64.0809429,DBORE_SARMIENTO_CHIALVA_LATE_FUNG22 _(EX-GCHWS),Colon,2022,South,2022,DK7210VT3P,DEKALB,,LDSR,PUCCSO,0,1,,R5,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMPL
Argentina,-25.979988842961,-65.080862991629,SRUIZ_MOGOTE_ESPEJO_FFUNG22,Rosario de la Frontera,2022,North,2022,DK7210PRO4,,,LDSR,SETOTU,0,1,,R5,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNNORTE
Argentina,-37.204900210336,-59.285430026733,RLOPE1_TANDIL_HEER_EARLY_FFUNG22,Tandil,2022,South,2022,LT721PRO4,,,YLD,N/A,113.53,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMPL
Argentina,-25.979988842961,-65.080862991629,SRUIZ_MOGOTE_ESPEJO_FFUNG22,Rosario de la Frontera,2022,North,2022,AX7814MQK1,,,YLD,N/A,34.675057,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNNORTE
Argentina,-25.979988842961,-65.080862991629,SRUIZ_MOGOTE_ESPEJO_FFUNG22,Rosario de la Frontera,2022,North,2022,DK7210VT3P,DEKALB,,YLD,N/A,51.344354,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNNORTE
Argentina,-26.539865,-60.650689,CSALO9_AVIATERAY_DONSANTIAGO_FFUNG22_FAMB22,Independencia,2022,North,2023,AX7814MQK1,,,YLD,N/A,61.602607,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNNORTEA1
